term_str,n,n_chars,p,i,max_pos,max_pos_group,stop,stem_porter,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,nrc_sentiment
agitation,1,9,7.578743141237457e-06,17.009609957636428,NN,NN,0,agit,1,0,0,0,0,1,0,0,0,0,-1
agony,1,5,7.578743141237457e-06,17.009609957636428,NNP,NN,0,agoni,1,0,0,1,0,1,0,1,0,0,-1
agreed,12,6,9.094491769484948e-05,13.424647456915272,VBD,VB,0,agre,0,0,0,0,0,0,1,0,0,1,1
agreement,10,9,7.578743141237457e-05,13.687681862749066,NN,NN,0,agreement,0,0,0,0,0,0,1,0,0,1,1
ailing,2,6,1.5157486282474914e-05,16.009609957636428,VBG,VB,0,ail,0,0,0,1,0,1,0,1,0,0,-1
alarm,5,5,3.7893715706187286e-05,14.687681862749066,NN,NN,0,alarm,0,0,0,1,0,1,0,0,1,0,-1
alarming,1,8,7.578743141237457e-06,17.009609957636428,VBG,VB,0,alarm,0,0,0,1,0,1,0,0,1,0,-1
alcoholism,2,10,1.5157486282474914e-05,16.009609957636428,NN,NN,0,alcohol,1,0,1,1,0,1,0,1,0,0,-1
alienation,2,10,1.5157486282474914e-05,16.009609957636428,NN,NN,0,alien,1,0,1,1,0,1,0,1,0,0,-1
alive,8,5,6.0629945129899655e-05,14.009609957636428,JJ,JJ,0,aliv,0,1,0,0,1,0,1,0,0,1,1
allegiance,1,10,7.578743141237457e-06,17.009609957636428,NN,NN,0,allegi,0,0,0,0,0,0,1,0,0,1,1
allied,1,6,7.578743141237457e-06,17.009609957636428,NNP,NN,0,alli,0,0,0,0,0,0,1,0,0,1,1
aloha,1,5,7.578743141237457e-06,17.009609957636428,NNP,NN,0,aloha,0,1,0,0,1,0,1,0,0,0,1
amazingly,1,9,7.578743141237457e-06,17.009609957636428,RB,RB,0,amazingli,0,0,0,0,1,0,1,0,1,0,1
ambassador,14,10,0.0001061024039773,13.202255035578824,NN,NN,0,ambassador,0,0,0,0,0,0,1,0,0,1,1
ambulance,2,9,1.5157486282474914e-05,16.009609957636428,NN,NN,0,ambul,0,0,0,1,0,0,0,0,0,1,0
amicable,1,8,7.578743141237457e-06,17.009609957636428,JJ,JJ,0,amic,0,0,0,0,1,0,1,0,0,0,1
amnesty,1,7,7.578743141237457e-06,17.009609957636428,NN,NN,0,amnesti,0,0,0,0,1,0,1,0,0,0,1
amused,2,6,1.5157486282474914e-05,16.009609957636428,VBN,VB,0,amus,0,0,0,0,1,0,1,0,0,0,1
amusing,1,7,7.578743141237457e-06,17.009609957636428,VBG,VB,0,amus,0,0,0,0,1,0,1,0,0,0,1
analyst,1,7,7.578743141237457e-06,17.009609957636428,NN,NN,0,analyst,0,1,0,0,0,0,1,0,0,1,1
angel,3,5,2.2736229423712372e-05,15.424647456915272,NN,NN,0,angel,0,1,0,0,1,0,1,0,1,1,1
anger,2,5,1.5157486282474914e-05,16.009609957636428,NN,NN,0,anger,1,0,0,0,0,1,0,0,0,0,-1
angling,1,7,7.578743141237457e-06,17.009609957636428,VBG,VB,0,angl,0,1,0,0,0,1,0,0,0,0,-1
angry,4,5,3.0314972564949827e-05,15.009609957636428,JJ,JJ,0,angri,1,0,1,0,0,1,0,0,0,0,-1
anguish,1,7,7.578743141237457e-06,17.009609957636428,NN,NN,0,anguish,1,0,0,1,0,1,0,1,0,0,-1
animosity,1,9,7.578743141237457e-06,17.009609957636428,NN,NN,0,animos,1,0,1,1,0,1,0,1,0,0,-1
annulment,1,9,7.578743141237457e-06,17.009609957636428,NNP,NN,0,annul,0,0,0,0,0,1,0,1,0,0,-1
antiseptic,3,10,2.2736229423712372e-05,15.424647456915272,JJ,JJ,0,antisept,0,0,0,0,0,0,1,0,0,1,1
antisocial,1,10,7.578743141237457e-06,17.009609957636428,JJ,JJ,0,antisoci,1,0,1,1,0,1,0,1,0,0,-1
anxious,3,7,2.2736229423712372e-05,15.424647456915272,JJ,JJ,0,anxiou,0,1,0,1,0,1,0,0,0,0,-1
apologize,2,9,1.5157486282474914e-05,16.009609957636428,NNP,NN,0,apolog,0,0,0,0,0,0,1,1,0,1,1
apostle,1,7,7.578743141237457e-06,17.009609957636428,NN,NN,0,apostl,0,0,0,0,0,0,1,0,0,1,1
appendicitis,1,12,7.578743141237457e-06,17.009609957636428,NN,NN,0,append,0,0,0,1,0,1,0,1,0,0,-1
applause,2,8,1.5157486282474914e-05,16.009609957636428,NN,NN,0,applaus,0,0,0,0,1,0,1,0,1,1,1
appreciation,7,12,5.30512019886622e-05,14.202255035578824,NN,NN,0,appreci,0,0,0,0,1,0,1,0,0,1,1
apprehensive,1,12,7.578743141237457e-06,17.009609957636428,JJ,JJ,0,apprehens,0,1,0,1,0,1,0,0,0,0,-1
approve,4,7,3.0314972564949827e-05,15.009609957636428,VB,NN,0,approv,0,0,0,0,1,0,1,0,0,1,1
ardent,2,6,1.5157486282474914e-05,16.009609957636428,JJ,JJ,0,ardent,0,1,0,0,1,0,1,0,0,0,1
argue,2,5,1.5157486282474914e-05,16.009609957636428,NNP,NN,0,argu,1,0,0,0,0,1,0,0,0,0,-1
argument,7,8,5.30512019886622e-05,14.202255035578824,NN,NN,0,argument,1,0,0,0,0,1,0,0,0,0,-1
arid,1,4,7.578743141237457e-06,17.009609957636428,NN,NN,0,arid,0,0,0,0,0,1,0,1,0,0,-1
armed,10,5,7.578743141237457e-05,13.687681862749066,VBN,VB,0,arm,1,0,0,1,0,1,1,0,0,0,0
arouse,1,6,7.578743141237457e-06,17.009609957636428,VB,VB,0,arous,0,1,0,0,0,0,1,0,0,0,1
arsenic,1,7,7.578743141237457e-06,17.009609957636428,VB,VB,0,arsen,0,0,1,1,0,1,0,1,0,0,-1
art,37,3,0.0002804134962257,11.80015659200748,NNP,NN,0,art,0,1,0,0,1,0,1,1,1,0,1
aspire,1,6,7.578743141237457e-06,17.009609957636428,VB,VB,0,aspir,0,1,0,0,1,0,1,0,0,0,1
aspiring,1,8,7.578743141237457e-06,17.009609957636428,NNP,NN,0,aspir,0,1,0,0,1,0,1,0,0,1,1
assailant,1,9,7.578743141237457e-06,17.009609957636428,NN,NN,0,assail,1,0,0,1,0,1,0,1,0,0,-1
assassination,1,13,7.578743141237457e-06,17.009609957636428,NN,NN,0,assassin,1,0,0,1,0,1,0,1,0,0,-1
assault,6,7,4.5472458847424745e-05,14.424647456915272,NN,NN,0,assault,1,0,0,1,0,1,0,0,0,0,-1
assembly,4,8,3.0314972564949827e-05,15.009609957636428,NNP,NN,0,assembl,0,0,0,0,0,0,1,0,0,1,1
assist,5,6,3.7893715706187286e-05,14.687681862749066,VB,VB,0,assist,0,0,0,0,0,0,1,0,0,1,1
associate,25,9,0.0001894685785309,12.365753767861705,NNP,NN,0,associ,0,0,0,0,0,0,1,0,0,1,1
assurance,1,9,7.578743141237457e-06,17.009609957636428,NNP,NN,0,assur,0,0,0,0,0,0,1,0,0,1,1
assured,2,7,1.5157486282474914e-05,16.009609957636428,VBD,VB,0,assur,0,0,0,0,0,0,1,0,0,1,1
astonishment,1,12,7.578743141237457e-06,17.009609957636428,NN,NN,0,astonish,0,0,0,0,1,0,1,0,1,0,1
asylum,4,6,3.0314972564949827e-05,15.009609957636428,NNP,NN,0,asylum,0,0,0,1,0,1,0,0,0,0,-1
attack,27,6,0.0002046260648134,12.25472245547296,NN,NN,0,attack,1,0,0,1,0,1,0,0,0,0,-1
attacking,2,9,1.5157486282474914e-05,16.009609957636428,VBG,VB,0,attack,1,0,1,1,0,1,0,1,1,0,-1
attendant,3,9,2.2736229423712372e-05,15.424647456915272,NN,NN,0,attend,0,0,0,0,0,0,1,0,0,1,1
attentive,2,9,1.5157486282474914e-05,16.009609957636428,JJ,JJ,0,attent,0,0,0,0,0,0,1,0,0,1,1
attorney,33,8,0.0002500985236608,11.965215838277976,NN,NN,0,attorney,1,0,0,1,0,0,1,0,0,1,1
auditor,4,7,3.0314972564949827e-05,15.009609957636428,NN,NN,0,auditor,0,0,0,1,0,0,0,0,0,1,0
aunt,3,4,2.2736229423712372e-05,15.424647456915272,NN,NN,0,aunt,0,0,0,0,0,0,1,0,0,1,1
austere,1,7,7.578743141237457e-06,17.009609957636428,JJ,JJ,0,auster,0,0,0,1,0,1,0,1,0,0,-1
authentic,1,9,7.578743141237457e-06,17.009609957636428,NNP,NN,0,authent,0,0,0,0,1,0,1,0,0,1,1
author,14,6,0.0001061024039773,13.202255035578824,NN,NN,0,author,0,0,0,0,0,0,1,0,0,1,1
authoritative,1,13,7.578743141237457e-06,17.009609957636428,JJ,JJ,0,authorit,0,0,0,0,0,0,1,0,0,1,1
authority,6,9,4.5472458847424745e-05,14.424647456915272,NNP,NN,0,author,0,0,0,0,0,0,1,0,0,1,1
autopsy,4,7,3.0314972564949827e-05,15.009609957636428,NN,NN,0,autopsi,0,0,1,1,0,1,0,1,0,0,-1
avalanche,1,9,7.578743141237457e-06,17.009609957636428,NN,NN,0,avalanch,0,0,0,1,0,1,0,1,1,0,-1
aversion,1,8,7.578743141237457e-06,17.009609957636428,NN,NN,0,avers,1,0,1,1,0,1,0,0,0,0,-1
avoid,2,5,1.5157486282474914e-05,16.009609957636428,VB,VB,0,avoid,0,0,0,1,0,1,0,0,0,0,-1
award,30,5,0.0002273622942371,12.10271936202791,NN,NN,0,award,0,1,0,0,1,0,1,0,1,1,1
awful,2,5,1.5157486282474914e-05,16.009609957636428,JJ,JJ,0,aw,1,0,1,1,0,1,0,1,0,0,-1
baby,48,4,0.0003637796707793,11.424647456915272,NN,NN,0,babi,0,0,0,0,1,0,1,0,0,0,1
backwards,1,9,7.578743141237457e-06,17.009609957636428,NNS,NN,0,backward,0,0,1,0,0,1,0,0,0,0,-1
bad,23,3,0.0001743110922484,12.486048001579416,JJ,JJ,0,bad,1,0,1,1,0,1,0,1,0,0,-1
badly,4,5,3.0314972564949827e-05,15.009609957636428,RB,RB,0,badli,0,0,0,0,0,1,0,1,0,0,-1
ballot,1,6,7.578743141237457e-06,17.009609957636428,NN,NN,0,ballot,0,1,0,0,0,0,1,0,0,1,1
banish,2,6,1.5157486282474914e-05,16.009609957636428,VB,VB,0,banish,1,0,1,1,0,1,0,1,0,0,-1
bankrupt,1,8,7.578743141237457e-06,17.009609957636428,NNP,NN,0,bankrupt,0,0,0,1,0,1,0,1,0,0,-1
bankruptcy,2,10,1.5157486282474914e-05,16.009609957636428,NN,NN,0,bankruptci,1,0,1,1,0,1,0,1,0,0,-1
banquet,7,7,5.30512019886622e-05,14.202255035578824,NN,NN,0,banquet,0,1,0,0,1,0,1,0,0,0,1
baptismal,1,9,7.578743141237457e-06,17.009609957636428,JJ,JJ,0,baptism,0,0,0,0,1,0,1,0,0,0,1
bargain,1,7,7.578743141237457e-06,17.009609957636428,VBN,VB,0,bargain,0,0,0,0,0,0,1,0,0,1,1
barren,1,6,7.578743141237457e-06,17.009609957636428,JJ,JJ,0,barren,0,0,0,0,0,1,0,1,0,0,-1
basketball,10,10,7.578743141237457e-05,13.687681862749066,NN,NN,0,basketbal,0,1,0,0,1,0,1,0,0,0,1
bastard,1,7,7.578743141237457e-06,17.009609957636428,RB,RB,0,bastard,0,0,1,0,0,1,0,1,0,0,-1
batter,1,6,7.578743141237457e-06,17.009609957636428,NN,NN,0,batter,1,0,0,1,0,1,0,0,0,0,-1
battered,3,8,2.2736229423712372e-05,15.424647456915272,VBN,VB,0,batter,0,0,0,1,0,1,0,1,0,0,-1
battle,23,6,0.0001743110922484,12.486048001579416,NN,NN,0,battl,1,0,0,0,0,1,0,0,0,0,-1
battled,1,7,7.578743141237457e-06,17.009609957636428,VBD,VB,0,battl,1,0,0,1,0,1,0,1,0,0,-1
battlefield,2,11,1.5157486282474914e-05,16.009609957636428,NN,NN,0,battlefield,0,0,0,1,0,1,0,0,0,0,-1
bayonet,1,7,7.578743141237457e-06,17.009609957636428,NN,NN,0,bayonet,1,0,0,1,0,1,0,0,0,0,-1
beam,1,4,7.578743141237457e-06,17.009609957636428,VBP,VB,0,beam,0,0,0,0,1,0,1,0,0,0,1
beaming,1,7,7.578743141237457e-06,17.009609957636428,VBG,VB,0,beam,0,1,0,0,1,0,1,0,0,0,1
bear,3,4,2.2736229423712372e-05,15.424647456915272,NNP,VB,0,bear,1,0,0,1,0,0,0,0,0,0,0
beating,13,7,9.852366083608696e-05,13.309170239495336,NN,NN,0,beat,1,0,0,1,0,1,0,1,0,0,-1
beautiful,21,9,0.0001591536059659,12.617292534857668,JJ,JJ,0,beauti,0,0,0,0,1,0,1,0,0,0,1
beauty,21,6,0.0001591536059659,12.617292534857668,NN,NN,0,beauti,0,0,0,0,1,0,1,0,0,0,1
bee,4,3,3.0314972564949827e-05,15.009609957636428,NNP,NN,0,bee,1,0,0,1,0,0,0,0,0,0,0
beer,6,4,4.5472458847424745e-05,14.424647456915272,NN,NN,0,beer,0,0,0,0,1,0,1,0,0,0,1
beg,1,3,7.578743141237457e-06,17.009609957636428,VB,VB,0,beg,0,0,0,0,0,1,0,1,0,0,-1
believing,1,9,7.578743141237457e-06,17.009609957636428,VBG,VB,0,believ,0,0,0,0,0,0,1,0,0,1,1
belt,2,4,1.5157486282474914e-05,16.009609957636428,NN,NN,0,belt,1,0,0,1,0,1,0,0,0,0,-1
benign,1,6,7.578743141237457e-06,17.009609957636428,JJ,JJ,0,benign,0,0,0,0,1,0,1,0,0,0,1
bias,22,4,0.0001667323491072,12.550178338999132,NNP,NN,0,bia,1,0,0,0,0,1,0,0,0,0,-1
bier,1,4,7.578743141237457e-06,17.009609957636428,NN,NN,0,bier,0,0,0,1,0,1,0,1,0,0,-1
bigot,1,5,7.578743141237457e-06,17.009609957636428,NNP,NN,0,bigot,1,0,1,1,0,1,0,0,0,0,-1
birth,29,5,0.0002197835510958,12.151628962508855,NN,NN,0,birth,0,1,0,1,1,0,1,0,0,1,1
birthday,19,8,0.0001439961196835,12.761682444192845,NN,NN,0,birthday,0,1,0,0,1,0,1,0,1,0,1
birthplace,2,10,1.5157486282474914e-05,16.009609957636428,NN,NN,0,birthplac,1,0,0,0,0,1,0,0,0,0,-1
bitterly,2,8,1.5157486282474914e-05,16.009609957636428,RB,RB,0,bitterli,1,0,1,0,0,1,0,1,0,0,-1
bitterness,1,10,7.578743141237457e-06,17.009609957636428,NN,NN,0,bitter,1,0,1,0,0,1,0,1,0,0,-1
bizarre,1,7,7.578743141237457e-06,17.009609957636428,JJ,JJ,0,bizarr,0,0,0,0,0,1,0,0,1,0,-1
black,364,5,0.0027586625034104,8.501815317437732,NNP,NN,0,black,0,0,0,0,0,1,0,1,0,0,-1
blackmail,1,9,7.578743141237457e-06,17.009609957636428,NNP,NN,0,blackmail,1,0,0,1,0,1,0,0,0,0,-1
blackness,1,9,7.578743141237457e-06,17.009609957636428,NN,NN,0,black,0,0,0,1,0,1,0,1,0,0,-1
blame,3,5,2.2736229423712372e-05,15.424647456915272,NN,VB,0,blame,1,0,1,0,0,1,0,0,0,0,-1
blast,4,5,3.0314972564949827e-05,15.009609957636428,NN,NN,0,blast,1,0,0,1,0,1,0,0,1,0,-1
blaze,4,5,3.0314972564949827e-05,15.009609957636428,NN,NN,0,blaze,1,0,0,0,0,1,0,0,0,0,-1
bleak,2,5,1.5157486282474914e-05,16.009609957636428,JJ,JJ,0,bleak,0,0,0,0,0,1,0,1,0,0,-1
bless,2,5,1.5157486282474914e-05,16.009609957636428,NN,NN,0,bless,0,1,0,0,1,0,1,0,0,1,1
blessed,1,7,7.578743141237457e-06,17.009609957636428,VBN,VB,0,bless,0,0,0,0,1,0,1,0,0,0,1
blessing,5,8,3.7893715706187286e-05,14.687681862749066,VBG,VB,0,bless,0,1,0,0,1,0,1,0,0,1,1
blessings,2,9,1.5157486282474914e-05,16.009609957636428,NNS,NN,0,bless,0,1,0,0,1,0,1,0,1,1,1
blindness,1,9,7.578743141237457e-06,17.009609957636428,NN,NN,0,blind,0,0,0,0,0,1,0,1,0,0,-1
bliss,2,5,1.5157486282474914e-05,16.009609957636428,NN,NN,0,bliss,0,0,0,0,1,0,1,0,0,0,1
bloated,1,7,7.578743141237457e-06,17.009609957636428,VBN,VB,0,bloat,0,0,1,0,0,1,0,0,0,0,-1
bloody,1,6,7.578743141237457e-06,17.009609957636428,NNP,NN,0,bloodi,1,0,1,1,0,1,0,1,0,0,-1
blossom,1,7,7.578743141237457e-06,17.009609957636428,NNP,NN,0,blossom,0,0,0,0,1,0,1,0,0,0,1
blues,19,5,0.0001439961196835,12.761682444192845,NNS,NN,0,blue,0,0,0,1,0,1,0,1,0,0,-1
blunder,1,7,7.578743141237457e-06,17.009609957636428,NN,NN,0,blunder,0,0,1,0,0,1,0,1,0,0,-1
boast,2,5,1.5157486282474914e-05,16.009609957636428,VB,VB,0,boast,0,0,0,0,0,1,1,0,0,0,0
bomb,2,4,1.5157486282474914e-05,16.009609957636428,NN,NN,0,bomb,1,0,0,1,0,1,0,1,1,0,-1
bombed,3,6,2.2736229423712372e-05,15.424647456915272,VBN,VB,0,bomb,0,0,1,0,0,1,0,0,0,0,-1
bomber,1,6,7.578743141237457e-06,17.009609957636428,NNP,NN,0,bomber,0,0,0,1,0,0,0,1,0,0,0
bonus,3,5,2.2736229423712372e-05,15.424647456915272,IN,NN,0,bonu,0,1,0,0,1,0,1,0,1,0,1
bothering,1,9,7.578743141237457e-06,17.009609957636428,VBG,VB,0,bother,1,0,0,0,0,1,0,1,0,0,-1
bottom,2,6,1.5157486282474914e-05,16.009609957636428,NN,NN,0,bottom,0,0,0,0,0,1,0,1,0,0,-1
bouquet,5,7,3.7893715706187286e-05,14.687681862749066,NN,NN,0,bouquet,0,0,0,0,1,0,1,0,0,1,1
bout,16,4,0.0001212598902597,13.009609957636428,NN,NN,0,bout,1,0,0,0,0,1,0,0,0,0,-1
boy,40,3,0.0003031497256494,11.687681862749066,NN,NN,0,boy,0,0,1,0,0,1,0,0,0,0,-1
brawl,1,5,7.578743141237457e-06,17.009609957636428,NN,NN,0,brawl,1,0,1,1,0,1,0,0,0,0,-1
bribery,1,7,7.578743141237457e-06,17.009609957636428,NN,NN,0,briberi,0,0,1,0,0,1,0,0,0,0,-1
bride,28,5,0.0002122048079546,12.202255035578824,NN,NN,0,bride,0,1,0,0,1,0,1,0,0,1,1
bridegroom,1,10,7.578743141237457e-06,17.009609957636428,NN,NN,0,bridegroom,0,1,0,0,1,0,1,0,0,1,1
bridesmaid,1,10,7.578743141237457e-06,17.009609957636428,VBD,VB,0,bridesmaid,0,0,0,0,1,0,1,0,0,1,1
brilliant,10,9,7.578743141237457e-05,13.687681862749066,JJ,JJ,0,brilliant,0,1,0,0,1,0,1,0,0,1,1
broke,14,5,0.0001061024039773,13.202255035578824,VBD,VB,0,broke,0,0,0,1,0,1,0,1,0,0,-1
broken,10,6,7.578743141237457e-05,13.687681862749066,JJ,JJ,0,broken,1,0,0,1,0,1,0,1,0,0,-1
brother,28,7,0.0002122048079546,12.202255035578824,NN,NN,0,brother,0,0,0,0,0,0,1,0,0,1,1
brotherhood,4,11,3.0314972564949827e-05,15.009609957636428,NNP,NN,0,brotherhood,0,0,0,0,0,0,1,0,0,1,1
bruise,1,6,7.578743141237457e-06,17.009609957636428,NN,NN,0,bruis,0,1,0,0,0,1,0,0,0,0,-1
brutal,2,6,1.5157486282474914e-05,16.009609957636428,JJ,JJ,0,brutal,1,0,0,1,0,1,0,0,0,0,-1
brutality,2,9,1.5157486282474914e-05,16.009609957636428,NN,NN,0,brutal,1,0,0,1,0,1,0,0,0,0,-1
buck,6,4,4.5472458847424745e-05,14.424647456915272,NN,NN,0,buck,0,0,0,1,0,1,1,0,1,0,0
buddy,7,5,5.30512019886622e-05,14.202255035578824,NNP,NN,0,buddi,0,1,0,0,1,0,1,0,0,1,1
buffet,3,6,2.2736229423712372e-05,15.424647456915272,NN,NN,0,buffet,1,0,0,0,0,1,0,0,0,0,-1
bug,2,3,1.5157486282474914e-05,16.009609957636428,NNP,NN,0,bug,0,0,1,1,0,1,0,0,0,0,-1
bum,1,3,7.578743141237457e-06,17.009609957636428,VB,VB,0,bum,0,0,1,0,0,1,0,1,0,0,-1
burglar,3,7,2.2736229423712372e-05,15.424647456915272,NNP,NN,0,burglar,0,0,1,1,0,1,0,0,0,0,-1
burial,3,6,2.2736229423712372e-05,15.424647456915272,JJ,JJ,0,burial,1,0,0,1,0,1,0,1,0,0,-1
burke,9,5,6.820868827113711e-05,13.839684956194116,NNP,NN,0,burk,1,0,1,1,0,1,0,1,0,0,-1
burnt,1,5,7.578743141237457e-06,17.009609957636428,NN,NN,0,burnt,0,0,1,0,0,1,0,0,0,0,-1
butcher,2,7,1.5157486282474914e-05,16.009609957636428,NN,NN,0,butcher,1,0,1,1,0,1,0,0,0,0,-1
butler,13,6,9.852366083608696e-05,13.309170239495336,NNP,NN,0,butler,0,0,0,0,0,0,1,0,0,1,1
cabinet,9,7,6.820868827113711e-05,13.839684956194116,NN,NN,0,cabinet,0,0,0,0,0,0,1,0,0,1,1
cage,3,4,2.2736229423712372e-05,15.424647456915272,NN,NN,0,cage,0,0,0,0,0,1,0,1,0,0,-1
calls,11,5,8.336617455361203e-05,13.550178338999132,VBZ,VB,0,call,0,1,0,0,0,1,0,0,0,1,-1
campaigning,2,11,1.5157486282474914e-05,16.009609957636428,NN,NN,0,campaign,1,0,0,1,0,1,0,0,0,0,-1
cancel,2,6,1.5157486282474914e-05,16.009609957636428,VB,VB,0,cancel,0,0,0,0,0,1,0,1,0,0,-1
cancer,6,6,4.5472458847424745e-05,14.424647456915272,NN,NN,0,cancer,1,0,1,1,0,1,0,1,0,0,-1
cane,2,4,1.5157486282474914e-05,16.009609957636428,NN,NN,0,cane,1,0,0,1,0,0,0,0,0,0,0
cannon,3,6,2.2736229423712372e-05,15.424647456915272,NNP,NN,0,cannon,1,0,0,1,0,1,0,0,0,0,-1
cap,3,3,2.2736229423712372e-05,15.424647456915272,NNP,NN,0,cap,0,1,0,0,0,0,0,0,0,1,0
career,44,6,0.0003334646982144,11.550178338999132,NN,NN,0,career,0,1,0,0,0,0,1,0,0,0,1
carol,5,5,3.7893715706187286e-05,14.687681862749066,NNP,NN,0,carol,0,0,0,0,1,0,1,0,0,1,1
case,47,4,0.0003562009276381,11.45502110595879,NN,NN,0,case,0,0,0,1,0,1,0,1,0,0,-1
cash,23,4,0.0001743110922484,12.486048001579416,NN,NN,0,cash,1,1,0,1,1,0,1,0,0,1,1
casket,2,6,1.5157486282474914e-05,16.009609957636428,NN,NN,0,casket,0,0,0,1,0,1,0,1,0,0,-1
cathedral,1,9,7.578743141237457e-06,17.009609957636428,NNP,NN,0,cathedr,0,0,0,0,1,0,1,0,0,1,1
caution,2,7,1.5157486282474914e-05,16.009609957636428,NNP,NN,0,caution,1,1,0,1,0,1,0,0,0,0,-1
cautious,1,8,7.578743141237457e-06,17.009609957636428,JJ,JJ,0,cautiou,0,1,0,1,0,0,1,0,0,1,1
celebrated,8,10,6.0629945129899655e-05,14.009609957636428,JJ,VB,0,celebr,0,1,0,0,1,0,1,0,0,0,1
celebrating,6,11,4.5472458847424745e-05,14.424647456915272,VBG,VB,0,celebr,0,1,0,0,1,0,1,0,0,0,1
celebration,13,11,9.852366083608696e-05,13.309170239495336,NN,NN,0,celebr,0,1,0,0,1,0,1,0,1,1,1
celebrity,5,9,3.7893715706187286e-05,14.687681862749066,NN,NN,0,celebr,1,1,1,0,1,1,1,0,1,1,0
cemetery,2,8,1.5157486282474914e-05,16.009609957636428,NN,NN,0,cemeteri,0,0,0,1,0,1,0,1,0,0,-1
censor,2,6,1.5157486282474914e-05,16.009609957636428,NNP,NN,0,censor,1,0,1,1,0,1,0,0,0,1,-1
